Year,Team,wins,losses,PF,yards,plays,yards/play,TO,Fumbles Lost,1st downs,completions,pass attempts,pass yards,pass td,int,net yards per pass att,pass 1st downs,Unnamed: 17,rush yards,rush td,rush yards per att,rush 1st downs,penalties,pen yards,pen 1st downs,number drives,score percentage,turnover percentage,avg start,avg time per drive,avg plays per drive,avg yards per drive,avg points per drive,SB,Winner,Winner Pts,Loser,Loser Pts
2019,1,12,4,420,5664,1095,5.2,15,6,338,378,620,3961,25,9,6.1,197,447,1703,17,3.8,110,94,828,31,185,36.8,7.6,Own 32.5,2:40,5.97,29.9,1.99, 53,1,13,30,3
2019,3,10,6,314,5283,1018,5.2,19,7,314,299,513,3229,21,12,5.8,162,465,2054,13,4.4,120,117,927,32,183,30.6,10.4,Own 28.9,2:34,5.62,28.6,1.66, 53,1,13,30,3
2019,4,7,9,276,4368,956,4.6,25,9,253,323,521,3111,19,16,5.4,162,383,1257,6,3.3,61,115,1105,30,183,23.0,11.5,Own 26.4,2:28,5.23,23.1,1.21, 53,1,13,30,3
2019,2,5,11,306,4960,1022,4.9,26,8,315,371,615,3804,22,18,5.7,210,349,1156,10,3.3,64,92,769,41,180,30.6,13.3,Own 27.6,2:33,5.78,27.1,1.63, 53,1,13,30,3
2019,7,14,2,531,6521,1064,6.1,15,7,386,289,440,3225,37,8,6.9,171,596,3296,21,5.5,188,109,867,27,163,52.1,8.6,Own 28.9,3:22,6.61,39.3,2.96, 53,1,13,30,3
2019,6,8,8,289,4428,937,4.7,30,11,265,315,510,2981,18,19,5.5,147,395,1447,7,3.7,75,111,893,43,185,28.6,15.7,Own 29.4,2:28,5.17,23.2,1.38, 53,1,13,30,3
2019,8,6,10,335,5455,973,5.6,28,7,305,318,539,3554,22,21,6.1,180,393,1901,15,4.8,90,122,1106,35,182,34.1,14.8,Own 29.3,2:36,5.47,29.7,1.84, 53,1,13,30,3
2019,5,2,14,279,5169,1049,4.9,30,14,312,356,616,3652,18,16,5.5,191,385,1517,9,3.9,85,93,761,36,175,30.3,16.0,Own 27.8,2:38,5.97,29.0,1.53, 53,1,13,30,3
2019,12,10,6,378,5792,1017,5.7,22,8,346,355,534,3783,27,14,6.5,203,434,2009,17,4.6,112,111,892,31,167,37.7,12.0,Own 28.6,2:50,6.15,34.3,2.19, 53,1,13,30,3
2019,11,9,7,402,5805,949,6.1,17,9,317,297,448,3582,29,8,7.1,177,445,2223,21,5.0,104,99,932,36,183,31.7,8.2,Own 27.5,2:28,5.24,31.5,2.04, 53,1,13,30,3
2019,9,7,9,361,5238,1016,5.2,21,11,340,307,513,3108,22,10,5.7,165,471,2130,17,4.5,131,79,670,44,166,36.1,11.4,Own 27.6,2:53,6.25,31.1,2.0, 53,1,13,30,3
2019,10,6,10,300,5468,1020,5.4,20,12,298,364,589,3760,24,8,6.0,183,389,1708,3,4.4,85,132,1165,30,177,33.9,10.2,Own 25.9,2:45,5.95,30.9,1.63, 53,1,13,30,3
2019,14,12,4,451,6067,976,6.2,15,10,350,378,576,4498,30,5,7.5,211,375,1569,16,4.2,93,107,1029,46,162,49.4,8.0,Own 28.9,2:52,6.18,37.2,2.62, 53,1,13,30,3
2019,13,7,9,282,4777,954,5.0,16,6,279,312,504,3115,16,10,5.7,162,409,1662,11,4.1,77,110,912,40,170,32.9,9.4,Own 27.2,2:45,5.78,28.1,1.62, 53,1,13,30,3
2019,16,7,9,313,5819,989,5.9,17,9,315,367,523,3926,22,8,7.1,194,437,1893,13,4.3,104,128,1138,17,161,32.9,9.9,Own 27.1,3:01,6.16,35.4,1.86, 53,1,13,30,3
2019,15,5,11,337,5879,997,5.9,31,11,349,394,597,4426,24,20,7.0,220,366,1453,12,4.0,90,103,872,39,157,39.5,18.5,Own 26.2,3:05,6.46,36.9,2.1, 53,1,13,30,3
2019,20,9,7,385,5772,1104,5.2,23,15,354,391,613,3833,27,8,5.9,215,454,1939,16,4.3,104,100,836,35,183,35.5,10.4,Own 28.2,2:51,6.07,30.9,2.01, 53,1,13,30,3
2019,19,8,8,434,6904,1069,6.5,18,7,379,388,597,4751,30,11,7.7,229,449,2153,18,4.8,120,109,1008,30,175,44.6,10.3,Own 26.3,2:42,6.34,39.4,2.43, 53,1,13,30,3
2019,17,4,12,341,5416,1012,5.4,33,16,311,376,607,3731,30,17,5.7,187,362,1685,11,4.7,89,90,784,35,180,28.3,18.3,Own 26.3,2:30,5.61,29.4,1.72, 53,1,13,30,3
2019,18,3,13,266,4395,885,5.0,21,8,248,298,479,2812,18,13,5.3,154,356,1583,9,4.4,74,106,835,20,173,30.1,12.1,Own 28.2,2:27,5.19,25.1,1.53, 53,1,13,30,3
2019,24,13,3,376,5528,1020,5.4,13,9,320,356,573,3733,26,4,6.1,190,411,1795,18,4.4,90,100,774,40,175,37.1,6.9,Own 28.6,2:50,5.89,31.1,2.1, 53,1,13,30,3
2019,22,10,6,407,5656,970,5.8,20,12,314,319,466,3523,26,8,7.1,171,476,2133,19,4.5,106,96,895,37,172,41.9,10.5,Own 29.7,2:39,5.77,32.5,2.3, 53,1,13,30,3
2019,21,8,8,280,4749,1020,4.7,19,7,297,371,580,3291,20,12,5.3,178,395,1458,8,3.7,85,103,838,34,172,29.1,10.5,Own 28.3,2:46,5.99,27.2,1.5, 53,1,13,30,3
2019,23,3,12,341,5549,1021,5.4,23,8,313,344,571,3900,28,15,6.4,196,407,1649,7,4.1,82,113,937,35,180,33.3,11.7,Own 28.4,2:33,5.74,30.3,1.78, 53,1,13,30,3
2019,28,13,3,458,5982,1011,5.9,8,2,347,418,581,4244,36,6,7.0,230,405,1738,12,4.3,97,120,1036,20,170,47.1,4.1,Own 33.6,3:00,6.07,34.8,2.54, 53,1,13,30,3
2019,27,7,9,381,6075,1096,5.5,25,10,383,459,684,4714,29,15,6.4,258,362,1361,10,3.8,84,119,956,41,172,41.3,13.4,Own 28.6,2:51,6.54,35.2,2.15, 53,1,13,30,3
2019,25,7,9,458,6366,1086,5.9,41,11,353,382,630,4845,33,30,7.2,244,409,1521,15,3.7,81,133,1111,28,193,38.3,20.7,Own 27.7,2:30,5.68,32.4,2.12, 53,1,13,30,3
2019,26,5,11,340,5469,1077,5.1,35,14,335,382,633,3650,17,21,5.3,230,386,1819,20,4.7,82,87,754,23,189,32.3,16.9,Own 28.8,2:25,5.79,28.7,1.73, 53,1,13,30,3
2019,32,13,3,479,6097,1012,6.0,23,10,336,331,478,3792,28,13,7.4,195,498,2305,23,4.6,110,105,939,31,183,44.3,12.0,Own 32.1,2:46,5.74,33.1,2.44, 53,1,13,30,3
2019,29,11,5,405,5991,1046,5.7,20,14,341,341,517,3791,31,6,6.7,190,481,2200,15,4.6,121,109,882,30,187,36.9,10.2,Own 30.0,2:41,5.71,31.8,2.09, 53,1,13,30,3
2019,30,9,7,394,5998,1055,5.7,24,7,342,397,632,4499,22,17,6.9,222,401,1499,20,3.7,92,118,899,28,178,36.0,12.9,Own 28.1,2:31,5.88,32.3,1.98, 53,1,13,30,3
2019,31,5,10,361,5467,1000,5.5,18,6,314,355,554,3477,20,12,5.8,176,396,1990,18,5.0,109,121,956,29,178,38.8,10.1,Own 27.7,2:29,5.81,30.6,2.02, 53,1,13,30,3
2018,1,11,5,436,6295,1073,5.9,18,7,365,378,574,4258,29,11,7.2,206,478,2037,18,4.3,131,93,744,28,184,40.8,9.2,Own 29.9,2:42,6.05,34.2,2.27, 52,20,41,1,33
2018,2,7,9,319,4638,878,5.3,23,10,252,292,455,2900,26,13,5.7,153,371,1738,7,4.7,75,108,978,24,184,28.3,12.5,Own 29.4,2:27,4.92,25.0,1.59, 52,20,41,1,33
2018,3,6,10,269,4778,1008,4.7,32,9,283,271,499,2794,13,23,5.2,137,468,1984,15,4.2,108,116,992,38,193,26.4,15.5,Own 29.7,2:32,5.47,24.6,1.39, 52,20,41,1,33
2018,4,4,12,333,4787,971,4.9,30,11,258,299,524,3165,18,19,5.6,157,410,1622,11,4.0,84,114,948,17,197,32.0,14.7,Own 30.7,2:22,5.15,24.2,1.57, 52,20,41,1,33
2018,7,10,6,389,5999,1135,5.3,20,11,367,334,556,3558,18,9,6.1,184,547,2441,19,4.5,153,116,940,30,177,40.7,10.7,Own 29.5,2:58,6.59,33.7,2.06, 52,20,41,1,33
2018,6,9,6,428,6453,1058,6.1,26,9,378,459,689,5008,35,17,7.0,251,345,1445,16,4.2,88,111,1026,39,182,36.8,14.3,Own 26.0,2:44,5.93,35.5,2.23, 52,20,41,1,33
2018,8,7,8,359,5900,1023,5.8,24,7,314,353,574,4007,29,17,6.5,189,411,1893,15,4.6,93,112,894,32,202,31.2,11.4,Own 28.5,2:20,5.21,29.2,1.81, 52,20,41,1,33
2018,5,6,10,368,4972,938,5.3,17,4,304,331,542,3290,27,13,5.7,182,359,1682,13,4.7,92,114,957,30,166,35.5,9.6,Own 29.0,2:39,5.78,29.7,2.03, 52,20,41,1,33
2018,12,11,5,402,5802,1040,5.6,16,7,333,345,506,3781,26,9,6.7,202,472,2021,12,4.3,94,105,787,37,186,40.3,8.1,Own 31.3,2:39,5.84,31.1,2.03, 52,20,41,1,33
2018,9,10,6,433,6179,1070,5.8,24,9,371,432,644,4461,39,15,6.7,237,408,1718,13,4.2,96,120,953,38,182,41.2,13.2,Own 29.8,2:39,6.04,33.9,2.38, 52,20,41,1,33
2018,11,9,7,310,5002,940,5.3,18,6,289,293,437,2975,16,12,6.1,156,456,2027,15,4.4,106,82,727,27,166,34.9,10.2,Own 27.8,2:52,5.86,30.0,1.82, 52,20,41,1,33
2018,10,5,11,245,4832,1005,4.8,29,16,277,329,536,3109,15,13,5.3,164,416,1723,7,4.1,92,121,1112,21,180,25.0,15.6,Own 27.0,2:41,5.76,26.9,1.24, 52,20,41,1,33
2018,14,12,4,565,6810,996,6.8,18,6,384,385,583,4955,50,12,8.1,239,387,1855,16,4.8,108,137,1152,37,171,52.6,10.5,Own 30.9,2:44,6.02,39.8,3.12, 52,20,41,1,33
2018,15,12,4,428,5962,945,6.3,19,7,338,348,512,4089,32,12,7.5,213,399,1873,16,4.7,100,113,967,25,170,42.4,10.0,Own 28.7,2:53,5.77,34.9,2.4, 52,20,41,1,33
2018,13,6,10,329,5602,1015,5.5,21,6,320,367,588,3695,19,15,5.9,181,393,1907,18,4.9,107,125,985,32,186,30.6,11.3,Own 27.8,2:30,5.63,30.1,1.72, 52,20,41,1,33
